entity:ID,name
entity_95,is measuring in
entity_96,"It hosts the `` Zomercarnaval '' , the second largest Caribbean carnival in Europe , originally called the Antillean carnival ."
entity_97,called
entity_98,The power cepstrum of a signal is defined as the squared magnitude of the inverse Fourier transform of the logarithm of the squared magnitude of the Fourier transform of a signal .
entity_99,is defined as
entity_100,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps ."
entity_101,are active staff members of
entity_102,"For patients who do not recover quickly , the protocol also includes support groups and/or psychotherapy ."
entity_103,includes
entity_104,"Hofmann was born in Salt Lake City , Utah ."
entity_105,was born in
entity_106,"In 1962 , Salahuddin won from Patharghatti assembly seat as an Independent candidate and later from Charminar constituency in 1967 ."
entity_107,won from
entity_108,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages ."
entity_109,"Though this time , the Brumbies won , 47 to 38 in front of a record crowd at Canberra Stadium ."
entity_110,won
entity_111,A different judge then ordered the case reviewed by a higher court .
entity_112,ordered
entity_113,was reviewed by
entity_114,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion ."
entity_115,are generally characterized by
entity_116,was caused by
entity_117,"Callaghan 's decision on the Japanese pilot 's funeral in 1945 would receive praise years later , although a memorial service aboard the `` Missouri '' in April 2001 attracted controversy ."
entity_118,attracted
entity_119,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street ."
entity_120,is at Henry Wood Hall in
entity_121,is also used as
entity_122,is being constructed within
entity_123,The 2005 model introduced a third row of seats to the Pathfinder line for the first time .
entity_124,introduced a third row of
entity_125,The district also provides recreation and leisure services to many non-residents of the area on a fee basis .
entity_126,provides
entity_127,The very ease of acquiring Esperanto might even accelerate the process .
entity_128,accelerate
entity_129,"The RSNO also performs throughout Scotland , at such venues as the Glasgow Royal Concert Hall , Usher Hall , Caird Hall , Aberdeen Music Hall , Perth Concert Hall and Eden Court Inverness ."
entity_130,performs throughout
entity_131,"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hoboken , New Jersey ."
entity_132,was reunited with
entity_133,was able to start
entity_134,start a business in
entity_135,The Anti-Monitor began to siphon the positive matter of New York City to create his Antimatter waves .
entity_136,began to siphon
entity_137,siphon the positive matter of
entity_138,create
entity_139,These tracks have subsequently been included on CD reissues of the album `` The Plan '' .
entity_140,have subsequently been included on
entity_141,been included on CD reissues of
entity_142,"Davis released about 25 singles during his seven years with Dakar , most of them big R&B sellers produced by Willie Henderson ."
entity_143,released
entity_144,produced by
entity_145,"In 2010 , popular internet reviewers RedLetterMedia delivered a scathing video critique of the film , drawing negative comparisons to The Three Stooges , Looney Tunes , and `` Home Alone '' ."
entity_146,delivered a scathing video critique of
entity_147,was drawing
entity_148,These skills were readily proven when squadrons and personnel were mobilized and recalled back to active duty during the Korean War and the Berlin Crisis .
entity_149,recalled back to
entity_150,"The doctor , Erasistratus , suspects love is behind Antiochus 's suffering ."
entity_151,suspects
entity_152,"The Lletty Shenkin explosion of 1849 , in particular , led to demands the local middle classes in Aberdare , for improved safety in the mines ."
entity_153,led to
entity_154,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance ."
entity_155,observed
entity_156,encountered
entity_157,"The two companies are teaming up again for the Future Vertical Lift prototype called SB-1 Defiant , where employees from both companies will work together ."
entity_158,are teaming
entity_159,"The film uses some computer-generated graphics : The northern lights in the scene where Inge walks through the fields to Olaf 's house to take a bath , and , later in the film , the geese flying over Olaf 's house ."
entity_160,uses
entity_161,walks through the fields to
entity_162,"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good ."
entity_163,sponsored by
entity_164,signed into
entity_165,provides state pensions to
entity_166,removes the remarriage prohibition to
entity_167,receive death benefits for
entity_168,die in the line of
entity_169,"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and Rebeca Vega ."
entity_170,is performances by
entity_171,Both companies are allies of Navigation Mixte in its fight against a hostile takeover bid launched last week by Cie .
entity_172,are allies of
entity_173,was launched last week by
entity_174,"Salomon Brothers says , `` We believe the real estate properties would trade at a discount ... after the realty unit is spun off ... ."
entity_175,would trade at
entity_176,"However , Paul Johanson , Monsanto 's director of plant sciences , said the company 's chemical spray overcomes these problems and is `` gentle on the female organ . ''"
entity_177,overcomes
entity_178,Bioengineers set out to duplicate that feat -- scientifically and commercially -- with new life forms .
entity_179,duplicate
entity_180,"The machine can run software written for other Mips computers , the company said ."
entity_181,can run
entity_182,President Bush said that three members of his cabinet will lead a presidential mission to Poland to gauge how the U.S. can help the new non - Communist government 's economic changes .
entity_183,will lead
entity_184,"Stephen McCartin , Mr. Hunt 's attorney , said his client welcomed the gamble ."
entity_185,welcomed
entity_186,One group of middle - aged manufacturing men from the company 's Zama plant outside Tokyo was supposed to check out a trendy restaurant in the city .
entity_187,was supposed to check
entity_188,"Boyer and Cohen , for instance , both still university researchers , had to be talked into applying for a patent on their gene - splicing technique -- and then the Patent Office refused to grant it ."
entity_189,be talked into applying
entity_190,"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point ."
entity_191,was a case in
entity_192,was dubbed
entity_193,"The brokerage firm tracks technology stocks with its Technology Index , which appreciated only 10.59 % in the first nine months of this year ."
entity_194,tracks
entity_195,appreciated
entity_196,"We finally rendezvoused with our balloon , which had come to rest on a dirt road amid a clutch of Epinalers who watched us disassemble our craft -- another half - an - hour of non - flight activity -- that included the precision routine of yanking the balloon to the ground , punching all the air out of it , rolling it up and cramming it and the basket into the trailer ."
entity_197,included the precision routine of
entity_198,A federation official attributed the decline to brisk demand from domestic industries backed by continuing economic expansion in Japan .
entity_199,attributed
entity_200,were backed by continuing
entity_201,"But it could also help American companies , which also are starting to try to open the market ."
entity_202,open
entity_203,A company spokesman did n't know Mr. Wakeman 's age .
entity_204,did n't know
entity_205,"The offering , Series 109 , is backed by Freddie Mac 10 % securities ."
entity_206,is backed by
entity_207,The 10.48 % yield represents a spread to the 20 - year Treasury of 2.45 percentage points .
entity_208,represents
entity_209,"New York bonds , which have been hammered in recent weeks on the pending supply and reports that the city 's economy is growing weaker , rose 1\/2 point yesterday ."
entity_210,rose
entity_211,have been hammered in
entity_212,Four other countries in Europe have approved Proleukin in recent months .
entity_213,have approved Proleukin in
entity_214,General Dynamics Corp. was given an $ 843 million Air Force contract for F - 16 aircraft and related equipment .
entity_215,was given
entity_216,The divested Courtaulds textile operations had operating profit of # 50 million on # 980 million in revenue in the year ended March 31 .
entity_217,had operating profit of
entity_218,was ended
entity_219,"A Coca - Cola spokesman said it is too early to say how the joint venture would be structured , or how much the company would invest in the transaction ."
entity_220,would invest in
entity_221,We just want a plan that satisfies creditors and at the end leaves a healthy Revco . ''
entity_222,satisfies
entity_223,leaves
entity_224,Some have been training for months ; others only recently left active status .
entity_225,The problem is that Japanese businesses make decisions with a view well beyond the coming months that weigh so heavily on Mr. Salinas .
entity_226,make
entity_227,weigh so heavily on
entity_228,"A Ford spokesman said the Dearborn , Mich. , auto maker is n't aware of any injuries caused by the windshield problem ."
entity_229,is n't aware of
entity_230,were caused by
entity_231,"More big Japanese investors are buying U.S. mortgage - backed securities , reversing a recent trend ."
entity_232,are buying
entity_233,reversing
entity_234,"An alternative and more convincing explanation , confirmed by recent events and a close inspection of the Gorbachev program , is that the new Soviet economic and social structures are intended to conform to a model other than that of the market ."
entity_235,are confirmed by
entity_236,"Earlier this year , President Bush made a final `` take - it - or - leave it '' offer on the minimum wage : an increase to $ 4.25 an hour over three years , and only if accompanied by a lower wage for the first six months of a job ."
entity_237,made
entity_238,"For owners who have followed the recommended oil maintenance schedule , Mazda will extend to five years or 60,000 miles the warranty term for engine damage due to abnormal engine oil deterioration ."
entity_239,will extend to
entity_240,have followed
entity_241,"The New York City issue included $ 757 million of tax - exempt bonds priced to yield between 6.50 % to 7.88 % , depending on the maturity ."
entity_242,"Their laboratory credentials established , Boyer and Swanson headed for Wall Street in 1980 ."
entity_243,headed for
entity_244,Japan 's No. 111 4.6 % bond due 1998 ended the day on brokers screens at 95.11 to yield 5.43 % .
entity_245,ended
entity_246,Armstrong World Industries Inc. agreed in principle to sell its carpet operations to Shaw Industries Inc .
entity_247,agreed in
entity_248,"In stock - index arbitrage , traders buy and sell large amounts of stocks with offsetting trades in stock - index futures and options ."
entity_249,sell large amounts of
entity_250,"Interstate / Johnson Lane Inc. this year adds 70 people -- 60 of them in retail -- to its 1,300 - member staff ."
entity_251,adds
entity_252,"Trek previously made only traditional road bikes , but `` it did n't take a rocket scientist to change a road bike into a mountain bike , '' says Trek 's president , Dick Burke ."
entity_253,"Charles O. Givens of Mount Vernon , Ind. - investment broker , ex - accountant , and son of a former stable owner - bred Tennessee Walking Horses for six years , raised cattle for four , and never made a profit on either ."
entity_254,bred
entity_255,Mr. Baker heads the Kentucky Association of Science Educators and Skeptics .
entity_256,heads the Kentucky Association of
entity_257,Declining issues outnumbered advancers 551 to 349 ; 224 issues were unchanged .
entity_258,outnumbered
entity_259,"Moreover , such a sale could help Armstrong reassure its investors and deter the Belzbergs , who own a 9.85 % stake in the Lancaster , Pa. , company ."
entity_260,reassure
entity_261,deter
entity_262,own
entity_263,"He showed up with a carpenter 's level , carefully measured every surface and showed how the apparent shrinkage was caused by the perspective ."
entity_264,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor ."
entity_265,is also located on
entity_266,located on a chapel on
entity_267,"According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion ."
entity_268,is not derived from
entity_269,derived from the region of
entity_270,"As a result , the lower river had to be dredged three times in two years ."
entity_271,be dredged
entity_272,"Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child ."
entity_273,fought
entity_274,Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .
entity_275,fulfilled
entity_276,was erecting
entity_277,Citizens for Responsibility and Ethics in Washington filed an Ethics Committee complaint against Bond over his role in the ouster of Graves .
entity_278,filed
entity_279,"Due to the transmitter location being based in Tyrone and a smaller signal wattage , it was barely hearable in the northern portions of Atlanta beyond the downtown area or even the northern reaches of Fulton or DeKalb Counties , as it was a rimshot to the southwest of the city ."
entity_280,was being based in
entity_281,During the morning and evening rush hours some services run direct to/from Paddington and Reading .
entity_282,run
entity_283,"From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas ."
entity_284,banned
entity_285,were once designated as
entity_286,"He finds himself in a desert as a group of Neo Arcadians surround him , ending the game ."
entity_287,are ending
entity_288,"Historically , Aiseau was a village dedicated to agriculture , logging , but also to the industry ."
entity_289,was dedicated to
entity_290,"However , when the antigenicities of the seed strains and wild viruses do not match , vaccines fail to protect the vaccinees ."
entity_291,fail to protect
entity_292,"If the second excitation pulse is sent prematurely before the relaxation is complete , the average magnetization vector still points in a nonparallel direction , giving suboptimal absorption and emission of the pulse ."
entity_293,points in
entity_294,is giving
entity_295,"In 1972 , researchers found metallic conductivity in the charge-transfer complex TTF-TCNQ ."
entity_296,found
entity_297,"In 2007 , Sun announced `` Project Indiana '' with several goals , including providing an open source binary distribution of the OpenSolaris project , replacing SXDE ."
entity_298,announced
entity_299,was replacing
entity_300,"In 2010 , scam websites co-opted a photograph of her to promote health treatments , the ubiquitous `` 1 weird old tip '' belly fat diets , and penny auctions , unauthorized usage of which Theuriau was initially unaware ."
entity_301,co-opted a photograph of
entity_302,was initially unaware was
entity_303,"In Canada , there are two organizations that regulate university and collegiate athletics ."
entity_304,regulate
entity_305,"In a news post , Holkins stated that he reserved the right to bring Carl back any time Krahulik goes to France ."
entity_306,goes to
entity_307,"In a typical case of substrate interference , a Language A occupies a given territory and another Language B arrives in the same territory ."
entity_308,occupies
entity_309,arrives in
entity_310,"In fact , Condon , after seeing Hauptmann in a lineup at New York Police Department Greenwich Street Station told FBI Special Agent Turrou that Hauptmann was not `` John , '' the man to whom Condon claimed he passed the ransom money to in St. Raymond 's Cemetery ."
entity_311,was seeing Hauptmann in
entity_312,"In order to support planned TRAX expansion , UTA ordered 77 Siemens S70 light rail vehicles from Siemens AG ."
entity_313,"Keats 's long and expensive medical training with Hammond and at Guy 's Hospital led his family to assume he would pursue a lifelong career in medicine , assuring financial security , and it seems that at this point Keats had a genuine desire to become a doctor ."
entity_314,led
entity_315,were assuring
entity_316,"Kim graduated from Ballard High School in Louisville , Kentucky , in 1989 and from Oberlin College in Ohio in 1993 where he double-majored in Government and English and played for the varsity lacrosse team ."
entity_317,graduated from Ballard High School in
entity_318,"Lemmy believes that if Will Reid Dick had not been there , they could have worked through the problems , but ended up exchanging a few words and Clarke left the studio ."
entity_319,"Males had a median income of $ 36,016 versus $ 32,679 for females ."
entity_320,had a median income of
entity_321,"Models , taking into account the size and room number of the barrack blocks in the Gorgan Wall forts and likely occupation density , produce figures between 15,000 and 36,000 soldiers ."
entity_322,produce figures between
entity_323,blocks in
entity_324,Modernity has been blended without sacrificing on the traditional Buddhist ethos .
entity_325,has been blended without sacrificing
entity_326,"Originally , Hank McCoy retains the basic features of a normal human alongside a generally simian physiology equivalent to that of a Great Ape ."
entity_327,retains the basic features of
entity_328,Pakistan Chrome Mines Ltd. is a mining company incorporated in the Islamic Republic of Pakistan .
entity_329,was incorporated in the Islamic Republic of
entity_330,Parental investment is any expenditure of resources to benefit one offspring .
entity_331,is any expenditure of
entity_332,"Plants have been planted marking parts of the foundations of the castle , so the positions of some of the buildings can still be inferred ."
entity_333,have been planted marking parts of
entity_334,"Scarpetta returns to Virginia in `` Trace '' , convincing herself that she was fired from her position , at the request of her replacement , Dr. Joel Marcus ."
entity_335,returns to
entity_336,"Shea was born on September 5 , 1900 in San Francisco , California ."
entity_337,was born on
entity_338,"Superboy-Prime , seeing an opportunity to defeat the now-weakened Anti-Monitor , flew through the Anti-Monitor 's chest and hurled his shattered body into space ."
entity_339,flew through
entity_340,hurled
entity_341,The 2nd Battalion of the 13th Light Infantry was raised at Winchester in January 1858 .
entity_342,was raised at
entity_343,"The Bureau of Alcohol , Tobacco , Firearms and Explosives , formed in 1886 , is a federal law enforcement organization within the United States Department of Justice ."
entity_344,is a federal law enforcement organization within
entity_345,is formed in
entity_346,"The CRZ was organized by the Nepal and Indian members of the Naxalite movement , in a meeting at Siliguri in the Indian State of West Bengal during August 2001 ."
entity_347,was organized by
entity_348,"The Steinbrenner family added a monument to Monument Park on September 20 , 2010 to honor Steinbrenner ."
entity_349,added
entity_350,"The Summer Programs Office runs these programs , and many Wardlaw-Hartridge Students attend camp or classes over the summer ."
entity_351,runs
entity_352,attend
entity_353,The Triple-A Baseball National Championship Game was established in 2006 .
entity_354,was established in
entity_355,The Wilbur Cross Highway formerly ended in Sturbridge ; locals sometimes call Haynes Street and portions of Mashapaug Road `` Old Route 15 '' .
entity_356,ended in
entity_357,call
entity_358,call portions of
entity_359,The canal was dammed off from the river for most of the construction period .
entity_360,was dammed
entity_361,"The city was founded by the Western Town Lot Company in 1880 , and originally named Nordland , with the platted streets given Norwegian names ."
entity_362,was founded by the Western Town Lot Company in
entity_363,was named
entity_364,were given
entity_365,The community is served by the United States Postal Service Hinsdale Post Office .
entity_366,is served by
entity_367,"The ensemble also has extensive recordings with Deutsche Grammophon , Dorian Recordings , Newport Classic , Navona Records , and under their own label ."
entity_368,has extensive recordings with
entity_369,The failure of 1st Armored to arrive intact and deploy as a single entity would have important consequences in later action against German forces in Tunisia .
entity_370,would have important consequences in
entity_371,The first five laps would be added to the second part of the race and the overall result would be decided on aggregate .
entity_372,would be added to
entity_373,would be decided on
entity_374,"The following tour featured extensive dates in East Asia , where the group played Tokyo , Osaka , Fukuoka , and Southeast Asia including Jakarta , Manila as well as Singapore and Guam ."
entity_375,featured
entity_376,played
entity_377,The insurer sponsored the golf tournament known as the New Orleans Open beginning in 1981 .
entity_378,sponsored
entity_379,was known as
entity_380,"The lodge is open from mid-May to mid-October , with two weeks starting in the end of August reserved for the Dartmouth First-Year Trips ."
entity_381,is open from
entity_382,were starting in the end of
entity_383,was reserved for
entity_384,The pillars in a line on its both sides are according to Doric or Greek style and their decorations are according to the Meenakshi Temple at Madurai in Tamil Nadu .
entity_385,are according to the Meenakshi Temple at
entity_386,"The race is in mixed eights , and usually held in late February / early March ."
entity_387,held in
entity_388,The rapids at the head of the South Fork were removed in 1908 .
entity_389,were removed in
entity_390,"The redesigned 2006 Ram SRT-10 came in Mineral Gray Metallic , Inferno Red , and Brilliant Black Crystal Clear Coat ."
entity_391,came in
entity_392,The residue can be reprocessed for more dripping and strained through a cheesecloth lined sieve as an ingredient for a fine beef stock .
entity_393,can be strained through
entity_394,was lined sieve as
entity_395,"The rest of the group reach a small shop , where Brady attempts to phone the Sheriff , but the crocodile breaks through a wall and devours Annabelle ."
entity_396,reach
entity_397,attempts to phone
entity_398,devours
entity_399,breaks through
entity_400,"The riders climbed off and began walking , shouting protests in general and in particular abuse at the race doctor , Pierre Dumas , whom some demanded should also take a test to see if he 'd been drinking wine or taking aspirin to make his own job easier ."
entity_401,shouting
entity_402,taking aspirin to
entity_403,The station has a concourse and ticket office area which was internally redesigned and reopened in mid-2012 .
entity_404,has
entity_405,was internally redesigned and reopened in
entity_406,"The third known version is part number 2189014-00-212 , with at least one model being produced in February 1993 ."
entity_407,was being produced in
entity_408,"Then the fillets are put in a mix of olive oil , vinegar , sugar , garlic , chill peppers , and lots of parsley or celery ."
entity_409,are put in a mix of
entity_410,"There were 47,604 households out of which 35.00 % had children under the age of 18 living with them , 56.30 % were married couples living together , 7.50 % had a female householder with no husband present , and 32.50 % were non-families ."
entity_411,had children under
entity_412,were married
entity_413,had a female householder with
entity_414,"These were often related to European conflict , as the Stuart Pretenders were aided and encouraged by Britain 's continental enemies for their own ends ."
entity_415,were aided and encouraged by
entity_416,This engine was equipped with an electronically controlled carburetor .
entity_417,was equipped with
entity_418,"When civilian government was introduced in Romblon by the Americans in 16 March 1901 , Banton was one of 11 new municipalities reinstated or created ."
entity_419,was one of
entity_420,was introduced in
entity_421,"With no assigned task , the Cosmos expressed concern for what Battra might do ."
entity_422,expressed concern for
entity_423,"Although Heathrow authorities have been watching a group of allegedly crooked baggage handlers for some time , the Gauguin may be `` lost . ''"
entity_424,have been watching a group of
entity_425,"Although Mr. Azoff wo n't produce films at first , it is possible that he could do so later , the sources said ."
entity_426,produce
entity_427,"As the London trading session drew to a close , the market was still listening to the parliamentary debate on the economy , with new Chancellor of the Exchequer John Major expected to clarify his approach to the British economy and currency issues ."
entity_428,was still listening to
entity_429,was expected to clarify
entity_430,drew to
entity_431,was new Chancellor of
entity_432,"Because patients require less attention from nurses and other staff , room charges are lower -- about $ 100 less per day than a regular room at the Vermont hospital ."
entity_433,require
entity_434,"Considered as a whole , Mr. Lane said , the filings required under the proposed rules `` will be at least as effective , if not more so , for investors following transactions . ''"
entity_435,required under
entity_436,"Crouched at shortstop , Bert Campaneris , once Oakland 's master thief , effortlessly scoops up a groundball and flips it to second ."
entity_437,is crouched at
entity_438,scoops
entity_439,"Despite the modest gains , traders said the market remains dull , with investors remaining cautiously on the sidelines ."
entity_440,are remaining cautiously on
entity_441,"Edison Brothers Stores Inc. said it agreed to buy 229 Foxmoor women 's apparel stores from Foxmoor Specialty Stores Corp. , a unit of Dylex Ltd. of Toronto ."
entity_442,were a unit of
entity_443,Few people in the advertising business have raised as many hackles as Alvin A. Achenbaum .
entity_444,have raised as
entity_445,"For example , a passenger can fly from Chardon , Neb. , to Denver for as little as $ 89 to $ 109 , according to prices quoted by the company ."
entity_446,can fly from
entity_447,were quoted by
entity_448,"Hani Zayadi was appointed president and chief executive officer of this financially troubled department store chain , effective Nov. 15 , succeeding Frank Robertson , who is retiring early ."
entity_449,was appointed
entity_450,were succeeding
entity_451,Hungary 's Parliament voted to hold a national referendum on an election to fill the new post of president .
entity_452,voted to hold
entity_453,"In Japan , those functions account for only about a third of the software market ."
entity_454,account for
entity_455,"It was the most active of the 100 - share index at 8.3 million shares , 6.5 million of which were traded by midday ."
entity_456,were traded by
entity_457,Japanese office workers use PCs at half the rate of their European counterparts and one - third that of the Americans .
entity_458,use
entity_459,Labor costs are climbing at a far more rapid pace in the health care industry than in other industries .
entity_460,are climbing at
entity_461,"Meanwhile , at home , Mitsubishi has control of some major projects ."
entity_462,has control of
entity_463,"Medical cooperatives , among the most successful in the U.S.S.R. , are banned from providing general - practitioner services ( their main source of income ) , carrying out surgery , and treating cancer patients , drug addicts and pregnant women ."
entity_464,are banned from providing
entity_465,-LRB-
entity_466,Mr. Ridley 's decision fires the starting pistol for perhaps a costly contest between the world 's auto giants for Britain 's leading luxury - car maker .
entity_467,fires the starting pistol for
entity_468,Mr. Stoll suspected the intruder was one of those precocious students who has fun breaking into computers .
entity_469,is breaking into
entity_470,"Prime Minister Lee Kuan Yew , Singapore 's leader and one of Asia 's leading statesmen for 30 years , recently announced his intention to retire next year -- though not necessarily to end his influence ."
entity_471,Repeat customers also can purchase luxury items at reduced prices .
entity_472,can purchase
entity_473,"Richard Newsom , a California state official who last year examined Lincoln 's parent , American Continental Corp. , said he also saw evidence that crimes had been committed ."
entity_474,examined
entity_475,The Chemical spokeswoman said the bank has examined its methodologies and internal controls .
entity_476,has examined
entity_477,"The Lone Star Steel lawsuit also asks the court to rule that Lone Star Technologies is jointly responsible for a $ 4.5 million Lone Star Steel pension payment that was due , but was n't paid , in September and that the parent company ca n't recover the amount from its subsidiary if the parent company makes the payment ."
entity_478,asks the court to
entity_479,recover the amount from
entity_480,is jointly responsible for
entity_481,The National Transportation Safety Board ruled that pilots failed to set the plane 's wing flaps and slats properly for takeoff and failed to make mandatory preflight checks that would have detected the error .
entity_482,failed to set
entity_483,failed to make
entity_484,would have detected
entity_485,The discount rate on three - month Treasury bills rose slightly from the average rate at Monday 's auction to 7.79 % for a bond - equivalent yield of 8.04 % .
entity_486,rose slightly from
entity_487,The effect is that lawsuits that might have been barred because they were filed too late could proceed because of the one - year extension .
entity_488,could proceed because of
entity_489,"The executives had profited handsomely by building American National Can Co. , Triangle 's chief asset ."
entity_490,had profited handsomely by building
entity_491,"The market 's tempo was helped by the dollar 's resiliency , he said ."
entity_492,was helped by
entity_493,The office may also be able to advise foreign and multinational clients on international law and general matters .
entity_494,be able to advise
