"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",1.0,receive death benefits for,main subject
"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",1.0,die in the line of,main subject
"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",1.0,die in the line of,main subject
"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and Rebeca Vega .",1.0,is performances by,performer
Both companies are allies of Navigation Mixte in its fight against a hostile takeover bid launched last week by Cie .,1.0,are allies of,developer
Both companies are allies of Navigation Mixte in its fight against a hostile takeover bid launched last week by Cie .,1.0,are allies of,developer
Both companies are allies of Navigation Mixte in its fight against a hostile takeover bid launched last week by Cie .,1.0,was launched last week by,developer
Both companies are allies of Navigation Mixte in its fight against a hostile takeover bid launched last week by Cie .,1.0,was launched last week by,developer
"Salomon Brothers says , `` We believe the real estate properties would trade at a discount ... after the realty unit is spun off ... .",1.0,would trade at,developer
"However , Paul Johanson , Monsanto 's director of plant sciences , said the company 's chemical spray overcomes these problems and is `` gentle on the female organ . ''",1.0,overcomes,platform
Bioengineers set out to duplicate that feat -- scientifically and commercially -- with new life forms .,1.0,duplicate,developer
"The machine can run software written for other Mips computers , the company said .",1.0,can run,operating system
President Bush said that three members of his cabinet will lead a presidential mission to Poland to gauge how the U.S. can help the new non - Communist government 's economic changes .,1.0,will lead,follows
"Stephen McCartin , Mr. Hunt 's attorney , said his client welcomed the gamble .",1.0,welcomed,developer
One group of middle - aged manufacturing men from the company 's Zama plant outside Tokyo was supposed to check out a trendy restaurant in the city .,1.0,was supposed to check,has part
"Boyer and Cohen , for instance , both still university researchers , had to be talked into applying for a patent on their gene - splicing technique -- and then the Patent Office refused to grant it .",1.0,be talked into applying,developer
"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point .",1.0,was a case in,platform
"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point .",1.0,was dubbed,developer
"The brokerage firm tracks technology stocks with its Technology Index , which appreciated only 10.59 % in the first nine months of this year .",1.0,tracks,operating system
"The brokerage firm tracks technology stocks with its Technology Index , which appreciated only 10.59 % in the first nine months of this year .",1.0,appreciated,follows
"We finally rendezvoused with our balloon , which had come to rest on a dirt road amid a clutch of Epinalers who watched us disassemble our craft -- another half - an - hour of non - flight activity -- that included the precision routine of yanking the balloon to the ground , punching all the air out of it , rolling it up and cramming it and the basket into the trailer .",1.0,included the precision routine of,participant
A federation official attributed the decline to brisk demand from domestic industries backed by continuing economic expansion in Japan .,1.0,attributed,developer
A federation official attributed the decline to brisk demand from domestic industries backed by continuing economic expansion in Japan .,1.0,were backed by continuing,developer
"But it could also help American companies , which also are starting to try to open the market .",1.0,open,platform
A company spokesman did n't know Mr. Wakeman 's age .,1.0,did n't know,operating system
"The offering , Series 109 , is backed by Freddie Mac 10 % securities .",1.0,is backed by,owned by
The 10.48 % yield represents a spread to the 20 - year Treasury of 2.45 percentage points .,1.0,represents,followed by
"New York bonds , which have been hammered in recent weeks on the pending supply and reports that the city 's economy is growing weaker , rose 1\/2 point yesterday .",1.0,rose,follows
"New York bonds , which have been hammered in recent weeks on the pending supply and reports that the city 's economy is growing weaker , rose 1\/2 point yesterday .",1.0,have been hammered in,follows
"New York bonds , which have been hammered in recent weeks on the pending supply and reports that the city 's economy is growing weaker , rose 1\/2 point yesterday .",1.0,have been hammered in,follows
Four other countries in Europe have approved Proleukin in recent months .,1.0,have approved Proleukin in,operating system
Four other countries in Europe have approved Proleukin in recent months .,1.0,have approved Proleukin in,operating system
General Dynamics Corp. was given an $ 843 million Air Force contract for F - 16 aircraft and related equipment .,1.0,was given,developer
The divested Courtaulds textile operations had operating profit of # 50 million on # 980 million in revenue in the year ended March 31 .,1.0,had operating profit of,followed by
The divested Courtaulds textile operations had operating profit of # 50 million on # 980 million in revenue in the year ended March 31 .,1.0,had operating profit of,followed by
The divested Courtaulds textile operations had operating profit of # 50 million on # 980 million in revenue in the year ended March 31 .,1.0,was ended,follows
"A Coca - Cola spokesman said it is too early to say how the joint venture would be structured , or how much the company would invest in the transaction .",1.0,would invest in,owned by
We just want a plan that satisfies creditors and at the end leaves a healthy Revco . '',1.0,satisfies,platform
We just want a plan that satisfies creditors and at the end leaves a healthy Revco . '',1.0,leaves,platform
Some have been training for months ; others only recently left active status .,1.0,left,developer
The problem is that Japanese businesses make decisions with a view well beyond the coming months that weigh so heavily on Mr. Salinas .,1.0,make,developer
The problem is that Japanese businesses make decisions with a view well beyond the coming months that weigh so heavily on Mr. Salinas .,1.0,weigh so heavily on,has part
"A Ford spokesman said the Dearborn , Mich. , auto maker is n't aware of any injuries caused by the windshield problem .",1.0,is n't aware of,developer
"A Ford spokesman said the Dearborn , Mich. , auto maker is n't aware of any injuries caused by the windshield problem .",1.0,were caused by,main subject
"More big Japanese investors are buying U.S. mortgage - backed securities , reversing a recent trend .",1.0,are buying,platform
"More big Japanese investors are buying U.S. mortgage - backed securities , reversing a recent trend .",1.0,reversing,platform
"An alternative and more convincing explanation , confirmed by recent events and a close inspection of the Gorbachev program , is that the new Soviet economic and social structures are intended to conform to a model other than that of the market .",1.0,are confirmed by,developer
"An alternative and more convincing explanation , confirmed by recent events and a close inspection of the Gorbachev program , is that the new Soviet economic and social structures are intended to conform to a model other than that of the market .",1.0,are confirmed by,developer
"Earlier this year , President Bush made a final `` take - it - or - leave it '' offer on the minimum wage : an increase to $ 4.25 an hour over three years , and only if accompanied by a lower wage for the first six months of a job .",1.0,made,platform
"Earlier this year , President Bush made a final `` take - it - or - leave it '' offer on the minimum wage : an increase to $ 4.25 an hour over three years , and only if accompanied by a lower wage for the first six months of a job .",1.0,made,platform
"For owners who have followed the recommended oil maintenance schedule , Mazda will extend to five years or 60,000 miles the warranty term for engine damage due to abnormal engine oil deterioration .",1.0,will extend to,has part
"For owners who have followed the recommended oil maintenance schedule , Mazda will extend to five years or 60,000 miles the warranty term for engine damage due to abnormal engine oil deterioration .",1.0,will extend to,has part
"For owners who have followed the recommended oil maintenance schedule , Mazda will extend to five years or 60,000 miles the warranty term for engine damage due to abnormal engine oil deterioration .",1.0,will extend to,has part
"For owners who have followed the recommended oil maintenance schedule , Mazda will extend to five years or 60,000 miles the warranty term for engine damage due to abnormal engine oil deterioration .",1.0,have followed,platform
"The New York City issue included $ 757 million of tax - exempt bonds priced to yield between 6.50 % to 7.88 % , depending on the maturity .",1.0,included,has part
"Their laboratory credentials established , Boyer and Swanson headed for Wall Street in 1980 .",1.0,headed for,developer
Japan 's No. 111 4.6 % bond due 1998 ended the day on brokers screens at 95.11 to yield 5.43 % .,1.0,ended,follows
Armstrong World Industries Inc. agreed in principle to sell its carpet operations to Shaw Industries Inc .,1.0,agreed in,developer
"In stock - index arbitrage , traders buy and sell large amounts of stocks with offsetting trades in stock - index futures and options .",1.0,sell large amounts of,platform
"Interstate / Johnson Lane Inc. this year adds 70 people -- 60 of them in retail -- to its 1,300 - member staff .",1.0,adds,developer
"Interstate / Johnson Lane Inc. this year adds 70 people -- 60 of them in retail -- to its 1,300 - member staff .",1.0,adds,developer
"Interstate / Johnson Lane Inc. this year adds 70 people -- 60 of them in retail -- to its 1,300 - member staff .",1.0,adds,developer
"Interstate / Johnson Lane Inc. this year adds 70 people -- 60 of them in retail -- to its 1,300 - member staff .",1.0,adds,developer
"Interstate / Johnson Lane Inc. this year adds 70 people -- 60 of them in retail -- to its 1,300 - member staff .",1.0,adds,developer
"Interstate / Johnson Lane Inc. this year adds 70 people -- 60 of them in retail -- to its 1,300 - member staff .",1.0,adds,developer
"Trek previously made only traditional road bikes , but `` it did n't take a rocket scientist to change a road bike into a mountain bike , '' says Trek 's president , Dick Burke .",1.0,made,developer
"Charles O. Givens of Mount Vernon , Ind. - investment broker , ex - accountant , and son of a former stable owner - bred Tennessee Walking Horses for six years , raised cattle for four , and never made a profit on either .",1.0,bred,instance of
"Charles O. Givens of Mount Vernon , Ind. - investment broker , ex - accountant , and son of a former stable owner - bred Tennessee Walking Horses for six years , raised cattle for four , and never made a profit on either .",1.0,made,platform
Mr. Baker heads the Kentucky Association of Science Educators and Skeptics .,1.0,heads the Kentucky Association of,notable work
Declining issues outnumbered advancers 551 to 349 ; 224 issues were unchanged .,1.0,outnumbered,followed by
Declining issues outnumbered advancers 551 to 349 ; 224 issues were unchanged .,1.0,outnumbered,followed by
"Moreover , such a sale could help Armstrong reassure its investors and deter the Belzbergs , who own a 9.85 % stake in the Lancaster , Pa. , company .",1.0,reassure,platform
"Moreover , such a sale could help Armstrong reassure its investors and deter the Belzbergs , who own a 9.85 % stake in the Lancaster , Pa. , company .",1.0,deter,developer
"Moreover , such a sale could help Armstrong reassure its investors and deter the Belzbergs , who own a 9.85 % stake in the Lancaster , Pa. , company .",1.0,own,developer
"He showed up with a carpenter 's level , carefully measured every surface and showed how the apparent shrinkage was caused by the perspective .",1.0,was caused by,follows
"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",1.0,is also located on,location
"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",1.0,is also located on,location
"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",1.0,is also located on,location
"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",1.0,located on a chapel on,part of
"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",1.0,located on a chapel on,part of
"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",1.0,is also located on,location
"According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .",1.0,is not derived from,said to be the same as
"According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .",1.0,derived from the region of,has part
"As a result , the lower river had to be dredged three times in two years .",1.0,be dredged,follows
"As a result , the lower river had to be dredged three times in two years .",1.0,be dredged,follows
"Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .",1.0,fought,has part
